Data,Precipitacao_mm,Ano,Mes,Mes_Nome
2005-11-01,0.0,2005,11,Nov/05
2005-11-02,0.0,2005,11,Nov/05
2005-11-03,0.0,2005,11,Nov/05
2005-11-04,2.6706580639118935,2005,11,Nov/05
2005-11-05,2.601010247033956,2005,11,Nov/05
2005-11-06,0.0,2005,11,Nov/05
2005-11-07,0.0,2005,11,Nov/05
2005-11-08,0.0,2005,11,Nov/05
2005-11-09,0.0,2005,11,Nov/05
2005-11-10,0.0,2005,11,Nov/05
2005-11-11,0.0,2005,11,Nov/05
2005-11-12,0.0,2005,11,Nov/05
2005-11-13,5.33740900190831,2005,11,Nov/05
2005-11-14,1.801312783672706,2005,11,Nov/05
2005-11-15,4.404195450186879,2005,11,Nov/05
2005-11-16,0.0,2005,11,Nov/05
2005-11-17,0.0,2005,11,Nov/05
2005-11-18,0.0,2005,11,Nov/05
2005-11-19,0.0,2005,11,Nov/05
2005-11-20,0.0,2005,11,Nov/05
2005-11-21,0.0,2005,11,Nov/05
2005-11-22,0.0,2005,11,Nov/05
2005-11-23,0.0,2005,11,Nov/05
2005-11-24,4.090469595264704,2005,11,Nov/05
2005-11-25,3.2404603060872903,2005,11,Nov/05
2005-11-26,0.0,2005,11,Nov/05
2005-11-27,0.0,2005,11,Nov/05
2005-11-28,7.199999999999999,2005,11,Nov/05
2005-11-29,0.0,2005,11,Nov/05
2005-11-30,0.0,2005,11,Nov/05
2005-12-01,0.0,2005,12,Dec/05
2005-12-02,0.0,2005,12,Dec/05
2005-12-03,0.0,2005,12,Dec/05
2005-12-04,3.959156930727085,2005,12,Dec/05
2005-12-05,0.0,2005,12,Dec/05
2005-12-06,0.0,2005,12,Dec/05
2005-12-07,0.0,2005,12,Dec/05
2005-12-08,8.7,2005,12,Dec/05
2005-12-09,8.7,2005,12,Dec/05
2005-12-10,0.0,2005,12,Dec/05
2005-12-11,0.0,2005,12,Dec/05
2005-12-12,8.221217222240115,2005,12,Dec/05
2005-12-13,7.76265137850656,2005,12,Dec/05
2005-12-14,0.0,2005,12,Dec/05
2005-12-15,0.0,2005,12,Dec/05
2005-12-16,0.0,2005,12,Dec/05
2005-12-17,0.0,2005,12,Dec/05
2005-12-18,0.0,2005,12,Dec/05
2005-12-19,8.7,2005,12,Dec/05
2005-12-20,0.0,2005,12,Dec/05
2005-12-21,0.0,2005,12,Dec/05
2005-12-22,0.0,2005,12,Dec/05
2005-12-23,8.7,2005,12,Dec/05
2005-12-24,0.0,2005,12,Dec/05
2005-12-25,0.0,2005,12,Dec/05
2005-12-26,4.9767496131434275,2005,12,Dec/05
2005-12-27,0.0,2005,12,Dec/05
2005-12-28,0.0,2005,12,Dec/05
2005-12-29,5.381642940670994,2005,12,Dec/05
2005-12-30,3.042153916102525,2005,12,Dec/05
2005-12-31,8.7,2005,12,Dec/05
2006-01-01,4.704278598250579,2006,1,Jan/06
2006-01-02,0.0,2006,1,Jan/06
2006-01-03,0.0,2006,1,Jan/06
2006-01-04,0.8845636614563157,2006,1,Jan/06
2006-01-05,0.0,2006,1,Jan/06
2006-01-06,0.0,2006,1,Jan/06
2006-01-07,5.017445799422868,2006,1,Jan/06
2006-01-08,0.0,2006,1,Jan/06
2006-01-09,0.0,2006,1,Jan/06
2006-01-10,5.390511060682674,2006,1,Jan/06
2006-01-11,0.0,2006,1,Jan/06
2006-01-12,0.0,2006,1,Jan/06
2006-01-13,0.0,2006,1,Jan/06
2006-01-14,2.676978668633249,2006,1,Jan/06
2006-01-15,0.0,2006,1,Jan/06
2006-01-16,0.0,2006,1,Jan/06
2006-01-17,0.0,2006,1,Jan/06
2006-01-18,7.042665805918804,2006,1,Jan/06
2006-01-19,0.0,2006,1,Jan/06
2006-01-20,0.0,2006,1,Jan/06
2006-01-21,4.057500090490386,2006,1,Jan/06
2006-01-22,0.0,2006,1,Jan/06
2006-01-23,0.0,2006,1,Jan/06
2006-01-24,0.0,2006,1,Jan/06
2006-01-25,10.716184215954272,2006,1,Jan/06
2006-01-26,6.670504858150959,2006,1,Jan/06
2006-01-27,0.0,2006,1,Jan/06
2006-01-28,2.6484274680300133,2006,1,Jan/06
2006-01-29,0.0,2006,1,Jan/06
2006-01-30,0.0,2006,1,Jan/06
2006-01-31,0.0,2006,1,Jan/06
2006-02-01,0.0,2006,2,Feb/06
2006-02-02,0.0,2006,2,Feb/06
2006-02-03,0.0,2006,2,Feb/06
2006-02-04,0.0,2006,2,Feb/06
2006-02-05,0.0,2006,2,Feb/06
2006-02-06,0.0,2006,2,Feb/06
2006-02-07,0.0,2006,2,Feb/06
2006-02-08,3.9204192266413647,2006,2,Feb/06
2006-02-09,0.0,2006,2,Feb/06
2006-02-10,0.0,2006,2,Feb/06
2006-02-11,14.7,2006,2,Feb/06
2006-02-12,0.0,2006,2,Feb/06
2006-02-13,0.8420837556735434,2006,2,Feb/06
2006-02-14,0.0,2006,2,Feb/06
2006-02-15,0.0,2006,2,Feb/06
2006-02-16,10.609879579648691,2006,2,Feb/06
2006-02-17,5.096146629091269,2006,2,Feb/06
2006-02-18,0.0,2006,2,Feb/06
2006-02-19,10.461924819740124,2006,2,Feb/06
2006-02-20,2.018575127934443,2006,2,Feb/06
2006-02-21,0.0,2006,2,Feb/06
2006-02-22,0.0,2006,2,Feb/06
2006-02-23,12.985389145144623,2006,2,Feb/06
2006-02-24,0.0,2006,2,Feb/06
2006-02-25,0.0,2006,2,Feb/06
2006-02-26,2.8504240941757586,2006,2,Feb/06
2006-02-27,11.905628692400029,2006,2,Feb/06
2006-02-28,0.0,2006,2,Feb/06
2006-03-01,0.0,2006,3,Mar/06
2006-03-02,0.0,2006,3,Mar/06
2006-03-03,0.0,2006,3,Mar/06
2006-03-04,0.0,2006,3,Mar/06
2006-03-05,0.0,2006,3,Mar/06
