Data,precipitacao
2005-12-31,125.96221321239314
2006-12-31,3478.611646637276
2007-12-31,3286.3455560222537
2008-12-31,3544.252848329454
2009-12-31,3822.3438045311145
2010-12-31,2858.333057289764
2011-12-31,3709.2875991199708
2012-12-31,4074.2232351152543
2013-12-31,3729.568289543201
2014-12-31,3256.1330569978654
2015-12-31,4030.5000529174845
2016-12-31,3594.2254899358973
2017-12-31,3728.813445515961
2018-12-31,3913.7225955744807
2019-12-31,5175.0075898568575
2020-12-31,3718.4445049522446
2021-12-31,4181.046284256751
2022-12-31,4040.27163134139
2023-12-31,3774.0478059302086
2024-12-31,4265.223480489818
2025-12-31,4139.26119863422
